Query,Clicks,Impressions,CTR,Position
sneakers oslo,342,4200,8.1%,2.3
nike air max,289,5100,5.7%,4.1
adidas ultraboost,201,3800,5.3%,5.2
joggesko dame,178,6200,2.9%,8.7
løpesko test 2024,134,4900,2.7%,7.4
beste joggesko,112,8700,1.3%,12.1
sneakers herre,98,3100,3.2%,6.8
joggesko barn,87,2900,3.0%,9.2
sneakers billig,76,5400,1.4%,14.3
joggesko på nett,65,4100,1.6%,11.8
nike sneakers,312,2800,11.1%,1.8
adidas sko,198,2200,9.0%,2.1
nike oslo,145,1900,7.6%,2.9
adidas norge,89,1400,6.4%,3.3
nike dame,234,2600,9.0%,2.4
nike herre,187,2100,8.9%,2.7
nike barn,76,980,7.8%,3.1
adidas dame,154,1800,8.6%,2.6
adidas herre,132,1600,8.3%,2.8
nike salg,98,1200,8.2%,3.5
joggesko guide,23,2100,1.1%,18.4
hvilken joggesko er best,18,3400,0.5%,19.2
joggesko for nybegynnere,15,1800,0.8%,17.6
joggesko plantar fasciitt,12,980,1.2%,16.3
joggesko breie føtter,9,1200,0.8%,18.9
joggesko pronasjon,8,870,0.9%,15.4
sommersneakers 2024,34,2800,1.2%,13.7
trendende sneakers,28,3200,0.9%,16.1
sneakers til jeans,19,2600,0.7%,19.8
hvite sneakers 2024,45,3900,1.2%,12.4
